"Username","Photography","Sculpture","Home","Animals","Charity","Law","Military","Politics","Religion","Travel","Vehicles","Shopping","Outdoor recreation","Sports","Fitness","Technology","News","Painting","Architecture","Books","Business","RealEstate","Dance","Engineering","Family","Food","Games","HealthCare","Live Events","Movies","Science","TV","Entrepreneurship"
"quietmindmeditation",0.0421068167631832,0.009429999643094409,0.030268919412837308,0.03836974139540203,0.025737911501964104,0.000487064535160905,0.000703678820604686,0.0009410418340630789,0.01515197897695467,0.12293934818600788,0.016024109662350277,0.020513692910238197,0.12343550555997615,0.09925427627193498,0.13610082862099204,0.030061109687197055,0.00013233011798898767,0.04846400182442981,0.04209877375420891,0.040582269441115676,0.0006594225740102333,0.03388459247233496,0.03980376200906041,0.01426125662038764,0.0170811857100678,0.09061081558349121,0.014599423865958779,0.043471848790156115,0.021052922909304748,0.03128842699344943,0.008859839830737688,0.00858926287772426,0.01868394782367082
"vans",0.0421068167631832,0.009429999643094409,0.030268919412837308,0.03836974139540203,0.025737911501964104,0.000487064535160905,0.000703678820604686,0.0009410418340630789,0.01515197897695467,0.12293934818600788,0.016024109662350277,0.020513692910238197,0.12343550555997615,0.09925427627193498,0.13610082862099204,0.030061109687197055,0.00013233011798898767,0.04846400182442981,0.04209877375420891,0.040582269441115676,0.0006594225740102333,0.03388459247233496,0.03980376200906041,0.01426125662038764,0.0170811857100678,0.09061081558349121,0.014599423865958779,0.043471848790156115,0.021052922909304748,0.03128842699344943,0.008859839830737688,0.00858926287772426,0.01868394782367082
"leomessi",0.006899459536674594,0.04196620907350953,0.020085486604752793,0.03402073909298721,0.03958399571347375,0.0006564579465929834,0.0007235282688002493,0.00038298902031286194,0.011768413601872155,0.024927268263427352,0.0005736220291039632,0.018860192497963328,0.024273635886586455,0.10366966762563933,0.10565439991877607,0.013240367093731574,0.0004792360805504466,0.01452737997188129,0.025560776064481712,0.03998711872720128,0.041384915109350835,0.0007201826858920192,0.06565104209413626,0.017031547239462833,0.020444076208597263,0.14599405237956767,0.024827796921456792,0.08795770398971717,0.0046331977451512674,0.033273208104458996,0.008170282341255587,0.008105321298888265,0.0136497614075574
"technologyspot",0.013336584507696224,0.014338503535957604,0.026243381226566727,0.0321202053314074,0.024440692506489246,0.00010163174466618397,0.008957089596254752,0.0009562561410631736,0.0002035432051625306,0.01477312194466806,0.08588426738255175,0.000664642336774972,0.03278200894510006,0.028981188317951687,0.014523917216935984,0.13787048239219718,0.025935279414614293,0.0007138712769112116,0.019309899270129112,0.022609307303195644,0.02211379979645833,0.031813207852164606,0.0006730987986139622,0.07871239876455596,0.03778342264587807,0.02110417589493529,0.04299410065731711,0.1305129851850787,0.023670197369834705,0.039645324519015895,0.10805165083854902,0.006185388657257729,0.005707657610628497
"wilderness_culture",0.12019005212494895,0.010772232588620742,0.032055737979113756,0.06426723565844596,0.01894820296841579,0.02069885316606343,0.000281869356629937,0.00012542290559875308,0.0008534438798373591,0.12078966767604928,0.03460138772303704,0.033617400041153205,0.09680404427079912,0.03717252097058029,0.12263303332576568,0.03804569215431218,0.009157211626906702,0.024251087958550094,0.019949543726078052,0.011207684364135731,0.0009042466147264046,0.03196951607819093,0.019556566081880236,0.03341922268489197,0.03753638278193717,0.01677037123580555,0.029583166562325534,0.038783526303738707,0.007862601771817516,0.0006516385878385993,0.024938730135562266,0.008154061005870532,0.0007471320024055864
"kanye.westwing",0.014399155518829043,0.0008991738127824788,0.008634842450396609,0.000321335660863198,0.018632880970809382,0.0007950028512473648,0.1161305024887576,0.12486960937880268,0.025754203034507227,0.04722538779030688,0.03053803337526466,0.00017785696442940445,0.015183582582944614,0.01727265375553493,0.04286221875539287,0.03337731235923137,0.12351980604315915,0.040171670286973715,0.008709144766503613,0.04158030040177948,0.04744733974071687,0.018523835687764584,0.017638973520218704,0.025597418132354617,0.00834171117220901,0.0002662286230216444,0.0005123216465246184,0.00898354785684235,0.04182382032355109,0.026689635701580488,0.04257872337913496,0.09157635828044183,0.026506461669429226
"november_whiskey_oscar",0.0387464107120286,0.00026819640591947745,0.04302038792302105,0.039592600009993505,0.0005711560007918872,0.1332374296675557,0.06409341813509653,0.13591758473984591,0.04163289052294037,0.009117803380875316,0.0365925597474216,0.0005203965734008342,0.042452538466391215,0.03728246503656129,0.0002227558430134086,0.03708078731302399,0.06742682420472498,0.00026361091586747464,0.010190633921290177,0.01576735904104795,0.029813648558111056,0.02057841901608681,0.016321894733245097,0.035259644640286796,0.008277289796998074,0.020464028812347032,0.046254640256703575,0.04034113505135706,0.031949614509290215,0.02098398298478725,0.021940474192352705,0.08173507661849225,0.005289559045918299
"praynfaith",0.018993324983687977,0.045843329710392795,0.010152697149022859,0.03136578405916981,0.008790105795405454,0.016445734289003852,0.10271449467166145,0.07095245085083342,0.11928147349503214,0.042913720424871,0.030003560687074247,0.0007943781305439499,0.007794974714877466,0.00945119444324435,0.008778838212174012,0.005844038177242225,0.09194965191797336,0.03256321172741051,0.012493824289830188,0.12237925889802091,0.01674360282456986,0.0007237834300520135,0.00028993716898288377,0.008765522915280887,0.02608804194524534,0.02154831574588383,0.0007073240986156518,0.0024036161917280474,0.03807066371901967,0.00073248426734304,0.030826205393312586,0.011904613889262328,0.044991637561086
"pilobolus",0.039076392799612884,0.1271328545530959,0.027212983660819284,0.031226217832167065,0.0005858769735709189,0.03200212391649975,0.00029567851217766444,0.00027019633080080277,0.020754700351869815,0.02971014177028252,0.032514515140865785,0.012981779452658609,0.024895616862953225,0.03662354322674687,0.06557881174387063,0.017857532778281844,0.03398095408010042,0.08841998857986946,0.14640856608984773,0.029976162280055736,0.0006104244709512152,0.04617587968348867,0.062194027535017966,0.0002796833284935737,0.039233875027093947,0.034607163686815906,0.03138768363575877,0.02401081205876208,0.0022524322248679562,0.04244467456768716,0.018694933290719674,0.022068768592655975,0.028440335089450503
"thedailybeast",0.00032717687612517993,0.018406716373224438,0.02868553773675623,0.039986927863699284,0.028250494814589206,0.10076631374672548,0.11345967762075357,0.01770737564958547,0.02002428841600118,0.03217944735002762,0.010910999033904092,0.03096122344579321,0.0008535316471628769,0.0435695796645865,0.0003557377290150643,0.1081507423554414,0.1349870129012893,0.014236187884043475,0.021347594426844807,0.000438243696345369,0.017910321689626002,0.043850061914491485,0.009124082168391251,0.01687066384779615,0.029448545822153567,0.02071927637319785,0.034942932275748635,0.037205544724293514,0.09810921442360862,0.028683841817620223,0.1474559304460047,0.025986011498650173,0.02020359239906264
